0.6	0.2	0.13333333333333333	0.16000000000000006
0.62	0.0	0.0	0.0
0.64	-0.1	0.09999999999999999	0.09000000000000001
0.66	0.1	0.09999999999999999	0.09000000000000001
0.68	0.1	0.09999999999999999	0.09000000000000001
0.7	0.1	0.1795054935711501	0.2899999999999999
0.72	-0.1	0.09999999999999999	0.09000000000000001
0.74	-0.2	0.13333333333333333	0.16000000000000006
0.76	-0.3	0.21343747458109494	0.41
0.78	-0.5	0.16666666666666666	0.25
0.8	-0.5	0.16666666666666666	0.25
0.82	-0.9	0.09999999999999999	0.09
0.84	-0.6	0.16329931618554522	0.24000000000000005
0.86	-0.6	0.1632993161855452	0.24
0.88	-0.9	0.09999999999999999	0.09000000000000001
0.9	-0.9	0.09999999999999999	0.09000000000000001
0.92	-1.0	0.0	0.0
0.94	-1.0	0.0	0.0
0.96	-1.0	0.0	0.0
0.98	-1.0	0.0	0.0
1.0	-1.0	0.0	0.0
0.5	0.0	0.0	0.0
0.52	0.01	0.009999999999999998	0.009899999999999997
0.5	0.04	0.027994168488950606	0.03840000000000001
0.02	0.0	0.0	0.0
0.05	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.1	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.05	0.0	0.0	0.0
0.1	0.0	0.0	0.0
0.15	0.0	0.0	0.0
0.2	0.02	0.019999999999999993	0.019599999999999996
0.25	0.0	0.0	0.0
0.3	0.02	0.02	0.019599999999999996
0.35	0.0	0.0	0.0
0.4	0.04	0.027994168488950612	0.03840000000000001
0.45	0.02	0.019999999999999993	0.019599999999999996
0.5	0.0	0.0	0.0
0.55	-0.02	0.019999999999999993	0.019599999999999992
0.6	0.06	0.033926691677251195	0.056400000000000006
0.65	0.02	0.019999999999999993	0.019599999999999992
0.7	-0.1	0.04285714285714286	0.09
0.75	-0.14	0.06395151224456967	0.20039999999999997
0.8	-0.34	0.0788177955664784	0.3044
0.85	-0.66	0.0676726816132972	0.2244
0.9	-0.86	0.0495695759225642	0.1204
0.95	-0.96	0.027994168488950606	0.03840000000000001
1.0	-1.0	0.0	0.0
0.0	0.0	0.0	0.0
0.05	0.0	0.0	0.0
0.1	0.0	0.0	0.0
0.15	0.0	0.0	0.0
0.2	0.0	0.0	0.0
0.25	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.3	0.0	0.0	0.0
0.35	0.0	0.0	0.0
0.4	0.0	0.0	0.0
0.45	0.0	0.0	0.0
