0.0	0.0	0.0	0.0
0.1	0.16125	0.15524843749999997	0.013939276385727383
0.2	0.35125	0.36787343749999996	0.0214573371722391
0.3	0.6475	0.61824375	0.02781675578456216
0.4	0.905	0.733475	0.030298370237503053
0.5	1.3625	1.08859375	0.03691131593502281
0.6	1.94625	1.4408609375	0.042465637105705736
0.7	2.85375	1.6548609374999999	0.04551005524370802
0.8	3.8725	1.16374375	0.038164123373806376
0.9	4.665	0.380275	0.021816018732611984
1.0	5.0	0.0	0.0
0.0	0.0	0.0	0.0
0.1	0.185	0.195775	0.015653275417276454
0.2	0.42875	0.4349234375000001	0.023330981875375207
0.3	0.76625	0.7041109375000002	0.029685690528480066
0.4	1.075	0.821875	0.03207225493976299
0.5	1.5975	1.40299375	0.0419039032655206
0.6	2.30375	1.7464859375000001	0.04675296484210289
0.7	3.29875	2.0469984374999997	0.05061571381479496
0.8	4.5825	1.5381937500000005	0.04387651562372631
0.9	5.5325	0.5089437500000001	0.025238381631638558
1.0	6.0	0.0	0.0
