4	0.0	0.0	0.0	0.0
4	0.1	0.1	0.095	0.010904064530215274
4	0.2	0.23375	0.2341109375	0.01711738671745906
4	0.3	0.4125	0.37984375	0.021803645020276145
4	0.4	0.60625	0.5337109375	0.025845185991276106
4	0.5	0.9025	0.74049375	0.03044299027808108
4	0.6	1.3375	0.87609375	0.033113257122284995
4	0.7	1.8375	0.85109375	0.032637381724907426
4	0.8	2.38875	0.5951234375	0.02729167164266993
4	0.9	2.7825	0.21769375000000005	0.01650629454782704
4	1.0	3.0	0.0	0.0
6	0.0	0.0	0.0	0.0
6	0.1	0.15875	0.15354843750000005	0.013862747439927957
6	0.2	0.3775	0.37499375	0.021663998905112163
6	0.3	0.5975	0.55049375	0.026248398246619568
6	0.4	0.91375	0.8238109375	0.032110006033701635
6	0.5	1.36875	1.1977734375	0.03871809215599666
6	0.6	1.9675	1.43394375	0.04236358139706772
6	0.7	2.8525	1.5657437499999998	0.04426769955656197
6	0.8	3.905	1.033475	0.03596471292419348
6	0.9	4.6575	0.3601937500000001	0.02123218534720986
6	1.0	5.0	0.0	0.0
8	0.0	0.0	0.0	0.0
8	0.1	0.22	0.22910000000000003	0.01693320456295747
8	0.2	0.50125	0.4824984375	0.02457392712292448
8	0.3	0.8275	0.67274375	0.029016928941680026
8	0.4	1.2325	1.07344375	0.03665356793755816
8	0.5	1.7	1.535	0.0438309415744075
8	0.6	2.55375	2.1296109375	0.05162698280518588
8	0.7	3.71	2.1984	0.05245416379205663
8	0.8	5.4425	1.56419375	0.044245782839993975
8	0.9	6.4575	0.56069375	0.026490458054928945
8	1.0	7.0	0.0	0.0
10	0.0	0.0	0.0	0.0
10	0.1	0.255	0.257475	0.017951227205897296
10	0.2	0.5725	0.5947437500000001	0.027282964239101478
10	0.3	1.00375	0.9437359375	0.034367809863570346
10	0.4	1.565	1.3857750000000002	0.04164596899361055
10	0.5	2.34125	1.9247984374999998	0.0490816595940952
10	0.6	3.24125	2.4205484375000004	0.05504064305001532
10	0.7	4.64875	3.0478734375	0.06176252957456739
10	0.8	6.8025	2.17349375	0.0521561839277221
10	0.9	8.28375	0.7557359375000001	0.030754710812678183
10	1.0	9.0	0.0	0.0
12	0.0	0.0	0.0	0.0
12	0.1	0.35125	0.3528734375	0.021015324210908858
12	0.2	0.72875	0.7351734375000001	0.030333429464104736
12	0.3	1.3125	1.22484375	0.03915317229965418
12	0.4	1.77125	1.5464234374999999	0.04399373373145933
12	0.5	2.60375	2.0892359375	0.05113524653967497
12	0.6	3.91875	2.9396484375	0.0606560755097567
12	0.7	5.53125	3.5940234375	0.0670682636338423
12	0.8	8.23	2.9296	0.060552318114472675
12	0.9	10.08875	0.9233734375	0.033995019835146294
12	1.0	11.0	0.0	0.0
14	0.0	0.0	0.0	0.0
14	0.1	0.40625	0.3937109375	0.02219807683435504
14	0.2	0.84	0.8669	0.0329390532124584
14	0.3	1.385	1.3642750000000001	0.041321642000554965
14	0.4	2.195	1.724475	0.04645741721747075
14	0.5	3.07875	2.6275484375	0.05734584753634806
14	0.6	4.53	3.4291	0.06551137057483412
14	0.7	6.685	3.9082749999999997	0.06993895961901876
14	0.8	9.83	3.5536000000000003	0.0666900251110437
14	0.9	12.06875	0.9990234375000001	0.03536017851561018
14	1.0	13.0	0.0	0.0
14	0.0	0.0	0.0	0.0
14	0.1	0.37125	0.37092343749999995	0.021546103826739552
14	0.2	0.8725	0.79624375	0.03156818612890732
14	0.3	1.265	1.239775	0.039391094461865735
14	0.4	1.9625	1.8235937499999997	0.047773895789422725
14	0.5	2.96875	2.5927734375	0.056965104017456594
